STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
     1420;19490101;   5;    6.6;   6.3;   8.0;  977.20;   65.00;-999;    9.2;    1.5;    1.0;-999;   4.3;   1;     -999;   0;eor
     1420;19490102;   5;    2.4;   6.9;   8.0;  981.80;   94.00;-999;    7.1;    0.5;    2.2;-999;   2.3;   1;     -999;   0;eor
     1420;19490103;   5;    2.0;   6.4;   5.0;  993.10;   88.00;-999;    5.0;    0.1;   -0.3;-999;   0.1;   1;     -999;   0;eor
     1420;19490104;   5;    2.4;   5.6;   6.7; 1000.40;   78.00;-999;    3.7;   -1.6;   -3.4;-999;   0.0;   1;     -999;   0;eor
     1420;19490105;   5;    3.5;   6.7;   8.0; 1011.20;   86.00;-999;    5.3;    1.6;    1.2;-999;   0.0;   1;     -999;   0;eor
     1420;19490106;   5;    4.2;   7.3;   8.0; 1023.60;   87.00;-999;    5.9;    3.0;    1.7;-999;   0.0;   1;     -999;   0;eor
     1420;19490107;   5;   -0.3;   5.9;   8.0; 1020.20;   96.00;-999;    4.0;   -1.2;    0.3;-999;   1.0;   8;     -999;   0;eor
     1420;19490108;   5;   -0.3;   5.9;   8.0; 1005.50;   98.00;-999;    0.6;   -2.5;   -2.8;-999;   0.6;   8;     -999;   0;eor
     1420;19490109;   5;    1.3;   6.0;   5.3; 1009.20;   89.00;-999;    3.3;   -1.7;   -2.8;-999;   1.0;   7;     -999;   0;eor
     1420;19490110;   5;   -1.5;   4.9;   4.0; 1009.80;   87.00;-999;    1.8;   -3.8;   -6.1;-999;   0.0;   0;     -999;   0;eor
     1420;19490111;   5;   -1.5;   4.9;   6.7; 1000.80;   92.00;-999;   -0.2;   -5.3;   -7.2;-999;   0.6;   7;     -999;   0;eor
     1420;19490112;   5;    0.8;   5.7;   5.7; 1002.30;   87.00;-999;    3.1;   -0.5;   -5.1;-999;   1.6;   7;     -999;   3;eor
     1420;19490113;   5;    0.4;   5.2;   3.3; 1019.40;   81.00;-999;    3.4;   -1.8;   -4.7;-999;   0.0;   1;     -999;   2;eor
     1420;19490114;   5;    1.0;   6.3;   8.0; 1013.90;   96.00;-999;    1.6;   -1.0;   -1.8;-999;   0.9;   8;     -999;   0;eor
     1420;19490115;   5;    3.8;   6.5;   7.3; 1009.00;   80.00;-999;    5.8;    1.3;   -0.8;-999;   0.1;   1;     -999;   0;eor
     1420;19490116;   5;    5.6;   7.5;   8.0; 1002.40;   86.00;-999;    8.2;    0.9;    0.2;-999;   1.4;   1;     -999;   0;eor
     1420;19490117;   5;    6.6;   8.4;   8.0; 1003.60;   86.00;-999;    7.6;    4.4;    4.0;-999;   3.9;   1;     -999;   0;eor
     1420;19490118;   5;    7.4;   8.5;   7.7; 1006.30;   83.00;-999;    9.2;    6.1;    3.5;-999;   0.2;   1;     -999;   0;eor
     1420;19490119;   5;    8.6;   8.7;   7.7; 1007.20;   77.00;-999;   10.7;    5.9;    4.9;-999;   0.0;   0;     -999;   0;eor
     1420;19490120;   5;    6.4;   7.9;   6.0; 1004.20;   79.00;-999;    8.4;    4.7;    5.7;-999;   0.9;   1;     -999;   0;eor
